,Price,Open,High,Low,Vol.,Change %
2020-07-28,1944.6,1937.1,1974.7,1900.2,434.45,0.006999999999999999
2020-07-29,1953.4,1950.6,1974.9,1935.2,209.84,0.0045000000000000005
2020-07-30,1949.5,1970.8,1971.1,1936.4,5.71,-0.002
2020-07-31,1968.0,1957.0,1985.7,1954.3,5.17,0.0095
2020-08-01,1968.0,1957.0,1985.7,1954.3,5.17,0.0095
2020-08-02,1968.0,1957.0,1985.7,1954.3,5.17,0.0095
2020-08-03,1969.5,1979.7,1992.1,1958.5,2.82,0.0008
2020-08-04,2004.2,1976.6,2020.5,1968.1,3.91,0.0176
2020-08-05,2032.9,2020.2,2053.5,2011.2,4.75,0.0143
2020-08-06,2054.6,2036.9,2065.1,2033.6,2.61,0.010700000000000001
2020-08-07,2014.3,2062.4,2074.0,2011.0,4.37,-0.0196
2020-08-08,2014.3,2062.4,2074.0,2011.0,4.37,-0.0196
2020-08-09,2014.3,2062.4,2074.0,2011.0,4.37,-0.0196
2020-08-10,2027.3,2032.0,2047.3,2015.7,2.55,0.006500000000000001
2020-08-11,1935.7,2024.2,2027.0,1900.9,6.16,-0.0452
2020-08-12,1937.5,1910.2,1948.7,1863.7,4.16,0.0009
2020-08-13,1959.3,1918.6,1963.5,1911.7,2.5,0.0113
2020-08-14,1938.8,1952.1,1958.3,1930.2,1.26,-0.0105
2020-08-15,1938.8,1952.1,1958.3,1930.2,1.26,-0.0105
2020-08-16,1938.8,1952.1,1958.3,1930.2,1.26,-0.0105
2020-08-17,1987.1,1945.2,1988.6,1930.8,1.77,0.024900000000000002
2020-08-18,2001.6,1981.6,2013.0,1973.6,1.7,0.0073
2020-08-19,1960.5,2001.5,2003.0,1920.8,2.83,-0.020499999999999997
2020-08-20,1935.4,1924.6,1951.5,1920.0,2.07,-0.0128
2020-08-21,1936.0,1945.8,1950.4,1908.2,1.73,0.0003
2020-08-22,1936.0,1945.8,1950.4,1908.2,1.73,0.0003
2020-08-23,1936.0,1945.8,1950.4,1908.2,1.73,0.0003
2020-08-24,1928.6,1937.2,1959.2,1920.1,1.41,-0.0038
2020-08-25,1912.5,1925.4,1932.9,1909.4,1.66,-0.0083
2020-08-26,1941.7,1927.6,1952.6,1899.1,3.29,0.015300000000000001
2020-08-27,1922.3,1950.9,1973.8,1907.7,2.3,-0.01
2020-08-28,1966.8,1930.1,1974.9,1921.2,11.76,0.0231
2020-08-29,1966.8,1930.1,1974.9,1921.2,11.76,0.0231
2020-08-30,1966.8,1930.1,1974.9,1921.2,11.76,0.0231
2020-08-31,1970.5,1966.7,1977.7,1955.0,7.16,0.0019
2020-09-01,1970.8,1965.9,1992.5,1961.2,10.95,0.0002
2020-09-02,1936.9,1967.9,1972.4,1931.5,10.84,-0.0172
2020-09-03,1930.2,1941.8,1948.4,1919.7,8.94,-0.0034999999999999996
2020-09-04,1926.2,1931.9,1948.8,1914.6,10.62,-0.0021
2020-09-05,1926.2,1931.9,1948.8,1914.6,10.62,-0.0021
2020-09-06,1926.2,1931.9,1948.8,1914.6,10.62,-0.0021
2020-09-07,1943.2,1938.0,1948.3,1911.7,416.01,0.0088
2020-09-08,1935.1,1930.0,1940.2,1904.6,15.62,-0.0042
2020-09-09,1946.8,1932.0,1951.4,1918.8,8.35,0.006
2020-09-10,1956.0,1947.5,1966.6,1940.4,11.35,0.004699999999999999
2020-09-11,1939.5,1945.0,1954.6,1936.2,8.09,-0.0084
2020-09-12,1939.5,1945.0,1954.6,1936.2,8.09,-0.0084
2020-09-13,1939.5,1945.0,1954.6,1936.2,8.09,-0.0084
2020-09-14,1954.7,1940.3,1963.6,1937.0,6.7,0.0078000000000000005
